HashFunction,Image,Port,Protocol,ScalingUpperBound,ScalingLowerBound,IterationMultiplier
c4286edd1a45e60158f9f52b148f4eaa597e8b2362b127078972e208c85980fa,docker.io/cvetkovic/dirigent_empty_function:latest,80,tcp,10000,0,1
6510121463998126795568bda767a2bd2aca87d6b24ec7fca178273ee23102d7,docker.io/cvetkovic/dirigent_empty_function:latest,80,tcp,10000,0,1
b9386d10c889ce4ca90550f25debd35474be8d8ec0dce2cfaf3824a3276ee505,docker.io/cvetkovic/dirigent_empty_function:latest,80,tcp,10000,0,1
98fd6b2011f67f3c2d93d33b26534d60511254adafc38f7f722929aed31f5ca3,docker.io/cvetkovic/dirigent_empty_function:latest,80,tcp,10000,0,1
9ab63d8b8dc8b59b928896c8386a02a30328cc095ad9ba81fb58e4e1220f3af9,docker.io/cvetkovic/dirigent_empty_function:latest,80,tcp,10000,0,1
15fcc9f267a07593c381008efc422e13b7d3959ca4b9c5173149d1b6d21d9ca8,docker.io/cvetkovic/dirigent_empty_function:latest,80,tcp,10000,0,1
aabdcb4f60e6c190cd24e72a0264b1cd7a3b140731c2b75c08625f1150ec476c,docker.io/cvetkovic/dirigent_empty_function:latest,80,tcp,10000,0,1
7017de4ffed83d70238483df8a219da83506626ad472d22b8cc186fde46530b6,docker.io/cvetkovic/dirigent_empty_function:latest,80,tcp,10000,0,1
4a373eeb7eb2db2f9c3709bf3e7a9eb4d784a78a9f46cb90b8f12db7785a4104,docker.io/cvetkovic/dirigent_empty_function:latest,80,tcp,10000,0,1
34922eb762b2854772b2d4d344443fd2a03da1f6969142bee3e75d2915b61dc5,docker.io/cvetkovic/dirigent_empty_function:latest,80,tcp,10000,0,1
d2c607b2e6b1e21b2472da9a1bb25f9df2240d54502af041c24b9ac3b985ea0f,docker.io/cvetkovic/dirigent_empty_function:latest,80,tcp,10000,0,1
f0d73c5b7d00cafbf07a915d34ac7db4bd97efedfde55793cf4501417b4183c2,docker.io/cvetkovic/dirigent_empty_function:latest,80,tcp,10000,0,1
72a238d035140ed2c566a945a83855224708b330f4af1a20dd293603468bc8ff,docker.io/cvetkovic/dirigent_empty_function:latest,80,tcp,10000,0,1
7c87d3583958455dbd99c8c32d246fa8919b09b03257197dbaa5a638f9f7b927,docker.io/cvetkovic/dirigent_empty_function:latest,80,tcp,10000,0,1
